Service Item In Oks,Service Item Description,Name,Environment Name,Contract Start Date,Contract End Date
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"American Career College, Inc.",JLF,2015-07-15 00:00:00,2018-07-14 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"American Career College, Inc.",JLF,2015-07-15 00:00:00,2024-07-14 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"American Career College, Inc.",ZBG,2015-07-15 00:00:00,2018-07-14 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"American Career College, Inc.",ZBG,2015-07-15 00:00:00,2024-07-14 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,American Diabetes Association,ECRD,2016-01-28 00:00:00,2019-01-27 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,American Diabetes Association,ECRD,2016-07-18 00:00:00,2019-01-27 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,American Diabetes Association,ECRD-TEST,2016-01-28 00:00:00,2019-01-27 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,American Diabetes Association,ECRD-TEST,2016-07-18 00:00:00,2019-01-27 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,American Diabetes Association,EEAE-TEST,2016-01-28 00:00:00,2019-01-27 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,American Diabetes Association,EEAE-TEST,2016-07-18 00:00:00,2019-01-27 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,American Diabetes Association,HDOZ,2016-01-28 00:00:00,2019-01-27 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,American Diabetes Association,HDOZ,2016-07-18 00:00:00,2019-01-27 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,American Diabetes Association,HDOZ-TEST,2016-01-28 00:00:00,2019-01-27 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,American Diabetes Association,HDOZ-TEST,2016-07-18 00:00:00,2019-01-27 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Apparel FZCO,EDIU,2016-05-12 00:00:00,2019-05-11 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Apparel FZCO,EDIU,2016-05-12 00:00:00,2024-05-11 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Apparel FZCO,EDIU,2020-01-12 00:00:00,2024-05-11 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Apparel FZCO,EDIU-DR,2016-05-12 00:00:00,2019-05-11 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Apparel FZCO,EDIU-DR,2016-05-12 00:00:00,2024-05-11 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Apparel FZCO,EDIU-DR,2020-01-12 00:00:00,2024-05-11 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Apparel FZCO,EDIU-TEST,2016-05-12 00:00:00,2019-05-11 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Apparel FZCO,EDIU-TEST,2016-05-12 00:00:00,2024-05-11 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Apparel FZCO,EDIU-TEST,2020-01-12 00:00:00,2024-05-11 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Ashford Hospitality Advisors LLC,EBWXDEV-TEST,2015-06-07 00:00:00,2018-06-06 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Associated Banc-Corp,EOA,2013-03-02 00:00:00,2018-03-01 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Associated Banc-Corp,EOA,2013-03-02 00:00:00,2023-03-01 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Associated Banc-Corp,EOA-DR,2013-03-02 00:00:00,2018-03-01 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Associated Banc-Corp,EOA-DR,2013-03-02 00:00:00,2023-03-01 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Associated Banc-Corp,FHA,2013-03-02 00:00:00,2018-03-01 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Associated Banc-Corp,FHA,2013-03-02 00:00:00,2023-03-01 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Associated Banc-Corp,FJA,2013-03-02 00:00:00,2018-03-01 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Associated Banc-Corp,FJA,2013-03-02 00:00:00,2023-03-01 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Babcock & Wilcox Enterprises, Inc.",HCPC,2015-05-30 00:00:00,2018-05-29 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Babcock & Wilcox Enterprises, Inc.",HCPC,2015-05-30 00:00:00,2023-05-29 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Babcock & Wilcox Enterprises, Inc.",HCPC,2022-09-05 00:00:00,2027-09-06 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Babcock & Wilcox Enterprises, Inc.",HCPC-DEV1,2015-05-30 00:00:00,2018-05-29 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Babcock & Wilcox Enterprises, Inc.",HCPC-DEV1,2015-05-30 00:00:00,2023-05-29 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Babcock & Wilcox Enterprises, Inc.",HCPC-DEV1,2022-09-05 00:00:00,2027-09-06 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Babcock & Wilcox Enterprises, Inc.",HCPC-DEV3,2015-05-30 00:00:00,2018-05-29 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Babcock & Wilcox Enterprises, Inc.",HCPC-DEV3,2015-05-30 00:00:00,2023-05-29 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Babcock & Wilcox Enterprises, Inc.",HCPC-DEV3,2022-09-05 00:00:00,2027-09-06 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Babcock & Wilcox Enterprises, Inc.",HCPC-DEV5,2015-05-30 00:00:00,2018-05-29 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Babcock & Wilcox Enterprises, Inc.",HCPC-DEV5,2015-05-30 00:00:00,2023-05-29 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Babcock & Wilcox Enterprises, Inc.",HCPC-DEV5,2022-09-05 00:00:00,2027-09-06 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Babcock & Wilcox Enterprises, Inc.",HCPC-TEST,2015-05-30 00:00:00,2018-05-29 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Babcock & Wilcox Enterprises, Inc.",HCPC-TEST,2015-05-30 00:00:00,2023-05-29 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Babcock & Wilcox Enterprises, Inc.",HCPC-TEST,2022-09-05 00:00:00,2027-09-06 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Banc of California,EBQD,2015-03-20 00:00:00,2018-03-19 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Banc of California,EBQD,2015-03-20 00:00:00,2023-03-19 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Banc of California,EBQD-TEST,2015-03-20 00:00:00,2018-03-19 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Banc of California,EBQD-TEST,2015-03-20 00:00:00,2023-03-19 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Banc of California,EBQDDEV-TEST,2015-03-20 00:00:00,2018-03-19 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Banc of California,EBQDDEV-TEST,2015-03-20 00:00:00,2023-03-19 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Bath & Body Works, Inc",EUMO,2015-03-05 00:00:00,2020-03-04 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Bath & Body Works, Inc",EUMO,2015-03-12 00:00:00,2020-03-11 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Bath & Body Works, Inc",EUMO,2019-11-01 00:00:00,2024-10-31 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Bath & Body Works, Inc",EUMO,2021-10-12 00:00:00,2024-10-31 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Bath & Body Works, Inc",EUMO-DEV1,2015-03-05 00:00:00,2020-03-04 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,"Bath & Body Works, Inc",EUMO-DEV1,2015-03-12 00:00:00,2020-03-11 00:00:00
